Dimension 1,DIM_0 Features,DIM_0 Values,DIM_1 Features,DIM_1 Values,DIM_2 Features,DIM_2 Values,DIM_3 Features,DIM_3 Values
0,Metric_USW_1.0,0.050265059,Permission_1_1.0,0.101930132,Methodology_0_0.0,0.147540998,Type_0_1.0,0.052974909
1,Blockchain_HLG_1.0,0.046960942,Type_0_1.0,0.078854321,Methodology_1_1.0,0.147540998,Permission_1_1.0,0.050553787
2,Permission_0_1.0,0.045678087,Evaluation_PIM_1.0,0.059719638,TRLE_3_0.0,0.068063045,Consensus_BFT_1.0,0.041551239
3,Evaluation_SIM_0.0,0.038869501,Technology_WFI_1.0,0.055139592,TRLE_4_1.0,0.056978476,Problem_PR_1.0,0.038505675
4,Evaluation_PIM_1.0,0.037968399,Blockchain_ETH_1.0,0.050849392,TRLE_3_1.0,0.03561966,Metric_ENC_1.0,0.038356835
5,Type_1_1.0,0.037845151,Evaluation_SIM_0.0,0.049727227,Problem_PR_1.0,0.030925767,Technology_BLT_1.0,0.037545725
6,Allocation_OFD_1.0,0.033657671,Technology_RPI_1.0,0.048042805,Contribution_MS_1.0,0.030540622,Problem_PF_1.0,0.0349294
7,Application_MCO_1.0,0.033470368,Technology_GEM_1.0,0.033442271,Privacy_ANM_1.0,0.021592577,Technology_RPI_1.0,0.031983842
8,Permission_0_0.0,0.029008445,Technology_NJS_1.0,0.029997044,Security_ATH_1.0,0.020804776,Privacy_ENC_1.0,0.03004917
9,Security_ACC_1.0,0.027745424,Technology_REN_1.0,0.024846779,TRLE_4_0.0,0.020060469,Privacy_ANM_1.0,0.029973396
10,Security_ATH_1.0,0.025505665,Technology_BLT_1.0,0.022383179,Permission_0_1.0,0.019828336,Consensus_POW_1.0,0.029879385
11,TRLE_3_0.0,0.022192138,Technology_RMX_1.0,0.021750217,Type_1_1.0,0.018358378,Problem_PF_0.0,0.028540723
12,Problem_PF_1.0,0.02018563,Technology_RST_1.0,0.021529805,Permission_1_1.0,0.016786029,Blockchain_ETH_1.0,0.027052294
13,Problem_SE_1.0,0.019330955,Security_ENC_1.0,0.020183274,Application_MCO_1.0,0.014513305,Technology_RST_1.0,0.023187076
14,Reward_0_1.0,0.01897272,Consensus_POW_1.0,0.019740566,Evaluation_TES_1.0,0.013808327,Technology_SDN_1.0,0.019816913
15,Problem_SE_0.0,0.018584265,Technology_HNT_1.0,0.016523958,Metric_CPC_1.0,0.013392565,Blockchain_HLG_1.0,0.019059939
16,Chain_0_1.0,0.017889486,Permission_1_0.0,0.014234632,Application_ITS_1.0,0.013099834,Metric_CPC_1.0,0.018554054
17,Technology_IPF_1.0,0.017830519,Reward_0_1.0,0.013678032,Permission_0_0.0,0.012592235,AI Method_REL_1.0,0.016829286
18,TRLE_4_1.0,0.017261423,Metric_DLY_1.0,0.013578973,Metric_LTY_1.0,0.01205648,Technology_NJS_1.0,0.015767509
19,AI Method_REL_1.0,0.016960247,Blockchain_ETH_0.0,0.01187172,Contribution_MS_0.0,0.011060166,Technology_WFI_1.0,0.015355986
20,Problem_PF_0.0,0.016493626,Blockchain_BTC_1.0,0.011730559,Technology_HNT_1.0,0.010907963,Technology_MEC_1.0,0.013608457
21,Type_1_0.0,0.016118138,Permission_0_1.0,0.010595887,Problem_SE_1.0,0.010700461,Technology_GNC_1.0,0.013278087
22,Security_ENC_1.0,0.015973143,Application_ITS_1.0,0.010477862,Problem_SE_0.0,0.010287138,Allocation_OFD_1.0,0.012470056
23,Evaluation_TES_1.0,0.015474307,AI Method_FEL_1.0,0.010262482,Type_0_1.0,0.009872427,Chain_1_1.0,0.012400457
24,Technology_RPI_1.0,0.01352429,Evaluation_SIM_1.0,0.010076307,Blockchain_HLG_1.0,0.009015817,Technology_DKR_1.0,0.012061579
25,Methodology_1_1.0,0.012873145,Technology_GNC_1.0,0.009068806,Application_SEN_1.0,0.008925386,Technology_HNT_1.0,0.011797639
26,Methodology_0_0.0,0.012873145,Problem_PF_1.0,0.009056176,Type_2_1.0,0.008500231,Technology_NFV_1.0,0.011520117
27,Application_HCA_1.0,0.012575615,Type_0_0.0,0.009039398,Application_IOT_1.0,0.008340953,Security_ATH_1.0,0.011156323
28,Technology_MEC_1.0,0.012212396,Application_MCO_1.0,0.008762676,Type_1_0.0,0.007818779,Technology_RMX_1.0,0.0109149
29,Consensus_POW_1.0,0.011959189,TRLE_4_1.0,0.008667544,Security_ENC_1.0,0.00769949,Evaluation_FVE_1.0,0.009520909
30,TRLE_3_1.0,0.011613886,AI Method_REL_1.0,0.008565404,Consensus_BFT_1.0,0.007608374,Problem_PR_0.0,0.009377572
31,Allocation_OFD_0.0,0.011121239,Evaluation_PIM_0.0,0.007751004,Problem_PR_0.0,0.007531581,Evaluation_PIM_1.0,0.009223528
32,Metric_USW_0.0,0.010344788,TRLE_3_0.0,0.007434577,Technology_IFS_1.0,0.007247783,Blockchain_BTC_1.0,0.009180019
33,Technology_RST_1.0,0.008989051,Problem_PF_0.0,0.007399778,Methodology_1_0.0,0.006929188,Consensus_POW_0.0,0.009023404
34,Consensus_BFT_1.0,0.00837084,Permission_0_0.0,0.006729051,Methodology_0_1.0,0.006929188,Contribution_AR_1.0,0.008938962
35,Security_ATH_0.0,0.0082801,Problem_DS_1.0,0.006657336,Security_ACC_1.0,0.006911527,Contribution_MS_1.0,0.008476372
36,Evaluation_SIM_1.0,0.007876188,Consensus_POW_0.0,0.005961538,Security_ATH_0.0,0.006754014,Consensus_BFT_0.0,0.008419593
37,Contribution_AR_1.0,0.007860025,Problem_PR_1.0,0.005765695,Technology_RST_1.0,0.006276554,Metric_CPU_1.0,0.008362508
38,Consensus_RFT_1.0,0.007823944,Metric_DLY_0.0,0.005603687,Privacy_PSA_1.0,0.005844141,Allocation_SPL_1.0,0.008267155
39,Problem_PR_1.0,0.007821488,Privacy_PSA_1.0,0.005479625,Privacy_ENC_1.0,0.0057664,Metric_TRP_1.0,0.007652774
40,Metric_TRP_1.0,0.007520418,Reward_1_1.0,0.00490179,Application_IOT_0.0,0.005698883,Problem_SE_1.0,0.007168196
41,Type_2_1.0,0.007484133,Technology_DKR_1.0,0.004739436,Technology_NJS_1.0,0.005101393,Permission_1_0.0,0.00705988
42,Type_0_1.0,0.007360628,Consensus_BFT_1.0,0.004644965,TRLE_2_1.0,0.004977154,Problem_SE_0.0,0.006891313
43,Metric_LTY_1.0,0.007263101,Contribution_MS_1.0,0.004387165,Blockchain_ETH_1.0,0.004975073,Technology_5G_1.0,0.006446682
44,Blockchain_HLG_0.0,0.007097372,Privacy_DFP_1.0,0.00400213,Technology_RMX_1.0,0.004927322,Blockchain_ETH_0.0,0.006315853
45,Blockchain_BTC_1.0,0.007055336,Reward_2_1.0,0.003973906,Evaluation_SIM_0.0,0.004491436,Evaluation_SIM_0.0,0.006299628
46,Application_MCO_0.0,0.006571407,TRLE_3_1.0,0.003890762,Metric_LTY_0.0,0.004268887,Type_0_0.0,0.006072733
47,TRLE_4_0.0,0.006077246,Chain_0_1.0,0.003797807,Technology_GEM_1.0,0.004013206,Privacy_DFP_1.0,0.005796552
48,Application_IOT_1.0,0.005768019,Contribution_AR_1.0,0.003785309,Technology_REN_1.0,0.003908583,Blockchain_IOC_1.0,0.005531737
49,Technology_RMX_1.0,0.005688147,Consensus_RFT_1.0,0.00359876,Allocation_SPL_1.0,0.003580155,Metric_ENC_0.0,0.005411139
50,Permission_1_1.0,0.005070847,Blockchain_HLG_1.0,0.003330941,Technology_NFV_1.0,0.003340387,TRLE_3_0.0,0.005037146
51,Technology_HNT_1.0,0.005036665,Technology_RPI_0.0,0.003255237,Privacy_DFP_1.0,0.003278356,Metric_CPC_0.0,0.004424815
52,Evaluation_PIM_0.0,0.004927913,Application_IOT_1.0,0.003164794,Metric_CPC_0.0,0.003193891,Allocation_OFD_0.0,0.004120382
53,Privacy_ANM_1.0,0.004333294,TRLE_4_0.0,0.003051591,Technology_5G_1.0,0.0031294,Consensus_POS_1.0,0.003940372
54,Chain_0_0.0,0.004236347,Reward_0_0.0,0.002793274,Application_MCO_0.0,0.002849471,Contribution_AR_0.0,0.003807078
55,Application_IOT_0.0,0.003940948,Allocation_OFD_1.0,0.00264646,Blockchain_MCR_1.0,0.002570166,Application_HCA_1.0,0.003667646
56,Reward_0_0.0,0.003874534,Type_1_1.0,0.002609919,Application_ITS_0.0,0.002429671,Security_ATH_0.0,0.003621763
57,Privacy_PSA_1.0,0.003860522,Contribution_FR_1.0,0.0025055,Permission_1_0.0,0.002344184,Technology_IPF_1.0,0.00352229
58,Problem_DS_1.0,0.003659675,Consensus_POA_1.0,0.002440399,Privacy_ANM_0.0,0.002213955,Application_IOT_1.0,0.00348
59,Technology_BLT_1.0,0.00363623,Technology_IPF_1.0,0.002380344,Metric_DLY_1.0,0.002175361,Application_MCO_1.0,0.003452037
60,Consensus_POW_0.0,0.003611607,Technology_MEC_1.0,0.00237612,Technology_WFI_1.0,0.001992449,Metric_USW_1.0,0.003420781
61,Metric_DLY_1.0,0.003461712,Security_ENC_0.0,0.002341161,Contribution_FR_1.0,0.001985637,Type_1_1.0,0.003406919
62,Chain_1_1.0,0.003458444,Application_IOT_0.0,0.002162318,Technology_DKR_1.0,0.001617743,Privacy_ANM_0.0,0.003073267
63,Security_ACC_0.0,0.003446848,Technology_6G_1.0,0.00214324,Consensus_BFT_0.0,0.001541697,Contribution_MS_0.0,0.003069685
64,Technology_GEM_1.0,0.003384153,Security_ACC_1.0,0.002007914,Consensus_POS_1.0,0.001539684,Chain_0_1.0,0.002899887
65,Contribution_AR_0.0,0.003347561,Application_ITS_0.0,0.001943365,Chain_0_1.0,0.001516319,Blockchain_HLG_0.0,0.002880595
66,TRLE_2_1.0,0.003322946,Application_SEN_1.0,0.001890154,Blockchain_HLG_0.0,0.001362592,Problem_DS_1.0,0.00272584
67,Privacy_ENC_1.0,0.003193837,Evaluation_TES_1.0,0.001842089,Type_3_1.0,0.001352834,Consensus_RFT_1.0,0.002703358
68,Metric_LTY_0.0,0.002571676,Blockchain_IOC_1.0,0.001829017,Blockchain_ETH_0.0,0.001161522,TRLE_4_1.0,0.002650974
69,Metric_TRP_0.0,0.002426994,Technology_WFI_0.0,0.001806834,Type_0_0.0,0.001131717,TRLE_3_1.0,0.002636106
70,Technology_DKR_1.0,0.002339887,Application_HCA_1.0,0.001755495,Consensus_POR_1.0,0.001121228,Technology_NS3_1.0,0.002574896
71,AI Method_REL_0.0,0.002296481,Application_MCO_0.0,0.001720421,AI Method_REL_1.0,0.001057503,Metric_TRP_0.0,0.002469709
72,Allocation_SPL_1.0,0.002285244,Contribution_AR_0.0,0.001612152,Evaluation_TES_0.0,0.001004831,Consensus_POR_1.0,0.002455486
73,Consensus_POS_1.0,0.002227691,Chain_1_1.0,0.001590116,Problem_PF_1.0,0.000980996,Chain_1_0.0,0.002415252
74,Blockchain_MCR_1.0,0.002071917,Contribution_MS_0.0,0.001588794,Technology_MEC_1.0,0.000976428,Reward_3_1.0,0.00240882
75,Technology_NJS_1.0,0.00205306,Methodology_1_1.0,0.001482795,Evaluation_SIM_1.0,0.000910107,Application_ITS_1.0,0.002388337
76,Consensus_POA_1.0,0.002026153,Methodology_0_0.0,0.001482795,Evaluation_FVE_1.0,0.000898933,Application_IOT_0.0,0.002377679
77,Metric_ENC_1.0,0.001943083,Security_ATH_1.0,0.00142912,Metric_DLY_0.0,0.000897714,Contribution_FR_1.0,0.002329401
78,Problem_PR_0.0,0.001904825,Problem_PR_0.0,0.001404162,Metric_ENC_1.0,0.00089463,Metric_DLY_1.0,0.002293586
79,Security_ENC_0.0,0.001852807,AI Method_REL_0.0,0.001159788,Security_ENC_0.0,0.000893103,AI Method_REL_0.0,0.002278748
80,Blockchain_ETH_1.0,0.001768388,Metric_ENC_1.0,0.001126293,Chain_1_1.0,0.000891647,Permission_0_1.0,0.002190725
81,Consensus_POR_1.0,0.001733056,Type_1_0.0,0.001111557,Security_ACC_0.0,0.000858628,Technology_RPI_0.0,0.002167129
82,Consensus_BFT_0.0,0.001696196,Allocation_SPL_1.0,0.001007853,Problem_PF_0.0,0.000801569,Privacy_ENC_0.0,0.001998603
83,Evaluation_FVE_1.0,0.00159043,Evaluation_FVE_1.0,0.000958123,Chain_2_1.0,0.000777457,Technology_IFS_1.0,0.001740722
84,Application_HCA_0.0,0.00145871,Consensus_BFT_0.0,0.000941217,AI Method_FEL_1.0,0.000766262,Blockchain_MCR_1.0,0.001499617
85,Metric_CPU_1.0,0.001450268,Metric_LTY_1.0,0.000937417,Consensus_POW_1.0,0.000755761,Type_1_0.0,0.001450997
86,Metric_DLY_0.0,0.001428558,Chain_0_0.0,0.000899345,Contribution_FR_0.0,0.000699085,Permission_0_0.0,0.001391248
87,Contribution_MS_1.0,0.001205993,Contribution_FR_0.0,0.000882114,Technology_SDN_1.0,0.00069876,Application_SEN_1.0,0.001381786
88,Evaluation_TES_0.0,0.001126065,Allocation_OFD_0.0,0.000874449,Metric_TRP_1.0,0.000655912,Evaluation_SIM_1.0,0.001276503
89,Technology_REN_1.0,0.001019013,Technology_SDN_1.0,0.000837235,Consensus_RFT_1.0,0.000647209,Evaluation_PIM_0.0,0.00119712
90,Technology_MEC_0.0,0.001012876,AI Method_FEL_0.0,0.000785702,Metric_CPU_1.0,0.000622547,Security_ACC_1.0,0.001195799
91,Technology_SDN_1.0,0.000933372,TRLE_2_1.0,0.00076488,Consensus_POA_1.0,0.00052447,Metric_LTY_1.0,0.001188805
92,Technology_RPI_0.0,0.000916365,Problem_DS_0.0,0.000736109,Metric_USW_1.0,0.000476149,Metric_CPU_0.0,0.00117973
93,Type_0_0.0,0.000843779,Technology_NS3_1.0,0.00057555,Technology_NS3_1.0,0.000438488,Technology_MEC_0.0,0.001128664
94,Technology_IPF_0.0,0.000837401,Blockchain_HLG_0.0,0.000503417,Technology_6G_1.0,0.000396342,TRLE_2_1.0,0.00102185
95,Technology_IFS_1.0,0.00077639,Security_ATH_0.0,0.000463946,Privacy_ENC_0.0,0.00038353,Metric_DLY_0.0,0.000946503
96,Permission_1_0.0,0.000708148,Technology_HNT_0.0,0.00044559,Allocation_OFD_1.0,0.000382483,TRLE_4_0.0,0.000933331
97,Chain_1_0.0,0.000673605,Technology_GEM_0.0,0.000444908,Chain_0_0.0,0.000359074,Contribution_FR_0.0,0.000820114
98,Technology_WFI_1.0,0.000633755,Consensus_POR_1.0,0.000357902,Technology_BLT_1.0,0.000344414,Metric_USW_0.0,0.000704013
99,Methodology_0_1.0,0.000604581,Technology_BLT_0.0,0.000348183,Application_SEN_0.0,0.000313349,Chain_0_0.0,0.000686712
100,Methodology_1_0.0,0.000604581,Technology_RST_0.0,0.000334908,Type_2_0.0,0.000298423,Application_MCO_0.0,0.000677756
101,Technology_6G_1.0,0.00051051,Problem_SE_1.0,0.000333555,Technology_HNT_0.0,0.000294147,Technology_SDN_0.0,0.00067252
102,Privacy_ANM_0.0,0.000444306,Metric_LTY_0.0,0.000331915,TRLE_2_0.0,0.000245715,Technology_DKR_0.0,0.000639208
103,Contribution_MS_0.0,0.000436746,Problem_SE_0.0,0.000320671,Evaluation_PIM_1.0,0.000244781,Reward_2_1.0,0.000604487
104,Blockchain_ETH_0.0,0.000412862,Blockchain_BTC_0.0,0.00031633,Blockchain_BTC_1.0,0.000233293,Technology_BLT_0.0,0.000584045
105,Problem_DS_0.0,0.000404654,Chain_1_0.0,0.000309709,Technology_5G_0.0,0.000231671,Technology_REN_1.0,0.000559392
106,Technology_NS3_1.0,0.000375785,Technology_NJS_0.0,0.000298313,Consensus_POW_0.0,0.000228236,Evaluation_FVE_0.0,0.000539335
107,Blockchain_IOC_1.0,0.000361364,Reward_1_0.0,0.000271693,Allocation_SPL_0.0,0.000220381,Allocation_SPL_0.0,0.000508896
108,Metric_ENC_0.0,0.000274118,Technology_DKR_0.0,0.000251168,Metric_TRP_0.0,0.000211676,Technology_WFI_0.0,0.000503191
109,Type_2_0.0,0.00026275,Security_ACC_0.0,0.000249446,Blockchain_IOC_1.0,0.000190371,Technology_5G_0.0,0.000477251
110,Application_ITS_1.0,0.000236643,Technology_RMX_0.0,0.0002406,Chain_1_0.0,0.000173667,Application_ITS_0.0,0.000442973
111,Consensus_RFT_0.0,0.000220021,Chain_2_1.0,0.000220465,AI Method_REL_0.0,0.00014319,Application_HCA_0.0,0.000425429
112,Chain_2_1.0,0.000216623,Technology_REN_0.0,0.000219398,Contribution_AR_1.0,0.000134105,Metric_LTY_0.0,0.000420925
113,Privacy_ENC_0.0,0.000212426,Technology_IFS_1.0,0.0002124,Allocation_OFD_0.0,0.000126381,Chain_2_1.0,0.000395243
114,Metric_CPU_0.0,0.000204595,Application_HCA_0.0,0.000203629,Metric_ENC_0.0,0.000126209,Technology_RST_0.0,0.000360688
115,Blockchain_BTC_0.0,0.000190256,Technology_MEC_0.0,0.000197072,Privacy_PSA_0.0,0.000124066,Technology_HNT_0.0,0.000318139
116,Contribution_FR_1.0,0.000165157,Type_2_1.0,0.000188122,Reward_3_1.0,0.000107913,Consensus_POA_1.0,0.000303541
117,TRLE_2_0.0,0.000164049,Metric_ENC_0.0,0.00015889,Consensus_POS_0.0,9.86E-05,Problem_DS_0.0,0.000301399
118,Consensus_POS_0.0,0.000142634,Evaluation_TES_0.0,0.000134049,Metric_USW_0.0,9.80E-05,AI Method_FEL_1.0,0.000299125
119,Allocation_SPL_0.0,0.000140671,Metric_TRP_1.0,0.000121545,Technology_RST_0.0,9.76E-05,Reward_0_1.0,0.000298943
120,Technology_RST_0.0,0.00013983,Privacy_PSA_0.0,0.000116327,Reward_2_1.0,9.23E-05,Consensus_POS_0.0,0.000252294
121,Technology_HNT_0.0,0.00013582,Technology_IPF_0.0,0.000111792,Metric_CPU_0.0,8.78E-05,Blockchain_BTC_0.0,0.000247551
122,Technology_DKR_0.0,0.000124003,Privacy_DFP_0.0,0.00010331,Technology_DKR_0.0,8.57E-05,Consensus_POC_1.0,0.000204868
123,Technology_GNC_1.0,0.000123681,Consensus_RFT_0.0,0.000101202,Privacy_DFP_0.0,8.46E-05,Technology_GEM_1.0,0.000186059
124,Consensus_POC_1.0,9.37E-05,Blockchain_MCR_1.0,9.45E-05,Technology_MEC_0.0,8.10E-05,Technology_IPF_0.0,0.000165423
125,Evaluation_FVE_0.0,9.01E-05,Metric_CPC_1.0,9.43E-05,Technology_IFS_0.0,8.02E-05,Methodology_0_0.0,0.000158805
126,Metric_CPC_1.0,8.97E-05,Type_3_1.0,9.30E-05,Technology_WFI_0.0,6.53E-05,Methodology_1_1.0,0.000158805
127,Application_SEN_1.0,8.96E-05,Technology_GNC_0.0,8.01E-05,AI Method_FEL_0.0,5.87E-05,Technology_NJS_0.0,0.000156804
128,Privacy_PSA_0.0,8.20E-05,Methodology_0_1.0,6.96E-05,Contribution_AR_0.0,5.71E-05,Privacy_DFP_0.0,0.00014963
129,Technology_RMX_0.0,6.29E-05,Methodology_1_0.0,6.96E-05,Technology_RMX_0.0,5.45E-05,Security_ACC_0.0,0.000148556
130,Contribution_FR_0.0,5.81E-05,Application_SEN_0.0,6.64E-05,Technology_GEM_0.0,5.34E-05,Technology_RMX_0.0,0.00012074
131,Technology_BLT_0.0,5.66E-05,Consensus_POA_0.0,6.58E-05,Evaluation_FVE_0.0,5.09E-05,Technology_GNC_0.0,0.000117246
132,Consensus_POA_0.0,5.46E-05,Allocation_SPL_0.0,6.20E-05,Technology_NJS_0.0,5.07E-05,Privacy_PSA_1.0,0.000116511
133,Technology_GEM_0.0,4.50E-05,Evaluation_FVE_0.0,5.43E-05,Technology_REN_0.0,3.45E-05,Security_ENC_1.0,0.000108046
134,Application_ITS_0.0,4.39E-05,Technology_6G_0.0,5.04E-05,Evaluation_PIM_0.0,3.18E-05,Technology_NFV_0.0,0.000101723
135,Reward_2_1.0,3.26E-05,Reward_2_0.0,3.95E-05,Reward_1_1.0,3.11E-05,Consensus_RFT_0.0,7.60E-05
136,Technology_SDN_0.0,3.17E-05,Metric_TRP_0.0,3.92E-05,Technology_NFV_0.0,2.95E-05,Technology_6G_1.0,6.37E-05
137,Technology_5G_1.0,2.64E-05,TRLE_2_0.0,3.78E-05,Technology_GNC_1.0,2.86E-05,Reward_0_0.0,6.10E-05
138,Metric_CPC_0.0,2.14E-05,Technology_5G_1.0,3.76E-05,Application_HCA_1.0,2.65E-05,TRLE_2_0.0,5.04E-05
139,Reward_1_1.0,2.13E-05,Technology_SDN_0.0,2.84E-05,Problem_DS_1.0,2.43E-05,Application_SEN_0.0,4.85E-05
140,Technology_WFI_0.0,2.08E-05,Metric_CPC_0.0,2.25E-05,Technology_SDN_0.0,2.37E-05,Consensus_POR_0.0,2.44E-05
141,Technology_NJS_0.0,2.04E-05,Privacy_ANM_1.0,1.16E-05,Consensus_RFT_0.0,1.82E-05,Blockchain_IOC_0.0,2.43E-05
142,Consensus_POR_0.0,1.72E-05,Privacy_ENC_1.0,9.38E-06,Consensus_POA_0.0,1.41E-05,AI Method_FEL_0.0,2.29E-05
143,Technology_6G_0.0,1.20E-05,Blockchain_IOC_0.0,8.04E-06,Consensus_POR_0.0,1.12E-05,Technology_NS3_0.0,2.27E-05
144,Technology_REN_0.0,9.00E-06,Consensus_POS_1.0,7.19E-06,Technology_6G_0.0,9.32E-06,Technology_IFS_0.0,1.93E-05
145,Technology_IFS_0.0,8.59E-06,Type_2_0.0,6.60E-06,Blockchain_MCR_0.0,8.46E-06,Reward_1_1.0,1.92E-05
146,Type_3_1.0,8.23E-06,Technology_NS3_0.0,5.08E-06,Type_3_0.0,7.44E-06,Type_2_1.0,1.52E-05
147,Blockchain_MCR_0.0,6.82E-06,Metric_CPU_1.0,3.89E-06,Blockchain_BTC_0.0,6.29E-06,Security_ENC_0.0,1.25E-05
148,Reward_3_1.0,5.46E-06,Consensus_POR_0.0,3.56E-06,Technology_IPF_1.0,5.77E-06,Consensus_POA_0.0,8.19E-06
149,Technology_NFV_1.0,3.74E-06,Technology_5G_0.0,2.78E-06,Technology_BLT_0.0,5.36E-06,Evaluation_TES_1.0,7.56E-06
150,Technology_NS3_0.0,3.32E-06,Technology_IFS_0.0,2.35E-06,Technology_RPI_1.0,5.19E-06,Methodology_1_0.0,7.46E-06
151,Application_SEN_0.0,3.15E-06,Reward_3_1.0,2.26E-06,Technology_NS3_0.0,3.87E-06,Methodology_0_1.0,7.46E-06
152,Technology_5G_0.0,1.96E-06,Metric_USW_1.0,1.81E-06,Application_HCA_0.0,3.07E-06,Type_3_1.0,6.89E-06
153,Blockchain_IOC_0.0,1.59E-06,Privacy_ANM_0.0,1.19E-06,Consensus_POC_1.0,2.94E-06,Reward_2_0.0,6.01E-06
154,AI Method_FEL_1.0,1.51E-06,Chain_2_0.0,7.26E-07,Problem_DS_0.0,2.69E-06,Reward_3_0.0,5.28E-06
155,Reward_1_0.0,1.18E-06,Privacy_ENC_0.0,6.24E-07,Chain_2_0.0,2.56E-06,Technology_REN_0.0,4.94E-06
156,Privacy_DFP_1.0,1.12E-06,Metric_CPU_0.0,5.49E-07,Reward_1_0.0,1.72E-06,Blockchain_MCR_0.0,4.94E-06
157,Technology_GNC_0.0,1.09E-06,Type_3_0.0,5.12E-07,Reward_2_0.0,9.18E-07,Technology_GEM_0.0,2.48E-06
158,Chain_2_0.0,7.13E-07,Consensus_POS_0.0,4.60E-07,Blockchain_IOC_0.0,8.37E-07,Privacy_PSA_0.0,2.47E-06
159,Consensus_POC_0.0,6.19E-07,Metric_USW_0.0,3.73E-07,Technology_RPI_0.0,3.52E-07,Technology_6G_0.0,1.50E-06
160,Reward_2_0.0,3.24E-07,Blockchain_MCR_0.0,3.11E-07,Technology_IPF_0.0,2.71E-07,Consensus_POC_0.0,1.35E-06
161,AI Method_FEL_0.0,1.16E-07,Consensus_POC_1.0,1.96E-07,Technology_GNC_0.0,2.52E-07,Chain_2_0.0,1.30E-06
162,Type_3_0.0,4.53E-08,Technology_NFV_1.0,5.99E-09,Reward_3_0.0,2.37E-07,Reward_1_0.0,1.06E-06
163,Technology_NFV_0.0,3.30E-08,Reward_3_0.0,4.96E-09,Reward_0_1.0,6.68E-08,Evaluation_TES_0.0,5.50E-07
164,Privacy_DFP_0.0,2.90E-08,Consensus_POC_0.0,1.29E-09,Consensus_POC_0.0,1.94E-08,Type_2_0.0,5.35E-07
165,Reward_3_0.0,1.20E-08,Technology_NFV_0.0,5.29E-11,Reward_0_0.0,1.36E-08,Type_3_0.0,3.79E-08